"order_no","Dates","markup","amount","tax_amount"
"38252938","01/03/2024 10:34:43 AM","Rails Markup","4.48","0.39"
"38252966","01/03/2024 10:38:59 AM","Rails Markup","3.23","0.28"
"38253072","01/03/2024 10:59:23 AM","Rails Markup","2.70","0.24"
"38253211","01/03/2024 11:06:15 AM","Rails Markup","6.25","0.55"
"38253265","01/03/2024 11:08:37 AM","Rails Markup","2.70","0.24"
"38253482","01/03/2024 11:20:21 AM","Rails Markup","3.19","0.28"
"38253599","01/03/2024 11:25:41 AM","Rails Markup","3.70","0.32"
"38253647","01/03/2024 11:27:26 AM","Rails Markup","1.94","0.17"
"38253818","01/03/2024 11:34:13 AM","Rails Markup","0.70","0.06"
"38253857","01/03/2024 11:35:34 AM","Rails Markup","4.89","0.43"
"38253933","01/03/2024 11:38:51 AM","Rails Markup","10.40","0.91"
"38253959","01/03/2024 11:40:03 AM","Rails Markup","10.00","0.88"
"38254090","01/03/2024 11:44:24 AM","Rails Markup","4.80","0.42"
"38254114","01/03/2024 11:45:12 AM","Rails Markup","2.98","0.26"
"38254166","01/03/2024 11:46:57 AM","Rails Markup","3.70","0.32"
"38254319","01/03/2024 11:51:03 AM","Rails Markup","3.10","0.27"
"38254419","01/03/2024 11:54:33 AM","Rails Markup","1.94","0.17"
"38255225","01/03/2024 12:12:40 PM","Rails Markup","2.90","0.25"
"38255354","01/03/2024 12:15:31 PM","Rails Markup","4.29","0.38"
"38255531","01/03/2024 12:19:24 PM","Rails Markup","2.70","0.24"
"38255631","01/03/2024 12:21:04 PM","Rails Markup","1.90","0.17"
"38255647","01/03/2024 12:21:15 PM","Rails Markup","4.80","0.42"
"38255718","01/03/2024 12:22:32 PM","Rails Markup","3.14","0.27"
"38255844","01/03/2024 12:25:24 PM","Rails Markup","2.50","0.22"
"38256099","01/03/2024 12:30:28 PM","Rails Markup","4.90","0.43"
"38256500","01/03/2024 12:37:59 PM","Rails Markup","3.00","0.26"
"38256805","01/03/2024 12:44:13 PM","Rails Markup","2.70","0.24"
"38257383","01/03/2024 12:54:05 PM","Rails Markup","2.98","0.26"
"38257577","01/03/2024 12:57:24 PM","Rails Markup","3.19","0.28"
"38257579","01/03/2024 12:57:27 PM","Rails Markup","7.49","0.66"
"38258222","01/03/2024 01:07:47 PM","Rails Markup","3.30","0.29"
"38258324","01/03/2024 01:09:11 PM","Rails Markup","2.70","0.24"
"38258699","01/03/2024 01:14:27 PM","Rails Markup","1.90","0.17"
"38259632","01/03/2024 01:27:05 PM","Rails Markup","2.98","0.26"
"38260775","01/03/2024 01:41:50 PM","Rails Markup","8.08","0.71"
"38260846","01/03/2024 01:42:46 PM","Rails Markup","1.30","0.11"
"38261118","01/03/2024 01:46:32 PM","Rails Markup","3.70","0.32"
"38261385","01/03/2024 01:50:15 PM","Rails Markup","2.90","0.25"
"38261508","01/03/2024 01:51:53 PM","Rails Markup","2.50","0.22"
"38261553","01/03/2024 01:52:32 PM","Rails Markup","2.90","0.25"
"38262917","01/03/2024 02:08:29 PM","Rails Markup","2.10","0.18"
"38263225","01/03/2024 02:12:03 PM","Rails Markup","3.30","0.29"
"38263939","01/03/2024 02:19:37 PM","Rails Markup","0.80","0.07"
"38264211","01/03/2024 02:22:23 PM","Rails Markup","4.64","0.41"
"38264336","01/03/2024 02:23:40 PM","Rails Markup","3.30","0.29"
"38264688","01/03/2024 02:27:10 PM","Rails Markup","3.60","0.32"
"38264781","01/03/2024 02:28:10 PM","Rails Markup","0.80","0.07"
"38266012","01/03/2024 02:41:02 PM","Rails Markup","3.80","0.33"
"38266080","01/03/2024 02:41:41 PM","Rails Markup","2.90","0.25"
"38267148","01/03/2024 02:53:10 PM","Rails Markup","4.30","0.38"
"38267924","01/03/2024 03:02:04 PM","Rails Markup","2.94","0.26"
"38268014","01/03/2024 03:02:59 PM","Rails Markup","6.30","0.55"
"38268532","01/03/2024 03:08:19 PM","Rails Markup","1.00","0.09"
"38269707","01/03/2024 03:19:28 PM","Rails Markup","6.40","0.56"
"38270522","01/03/2024 03:27:29 PM","Rails Markup","2.90","0.25"
"38270641","01/03/2024 03:28:40 PM","Rails Markup","4.60","0.40"
"38270727","01/03/2024 03:29:34 PM","Rails Markup","1.40","0.12"
"38271132","01/03/2024 03:33:53 PM","Rails Markup","4.60","0.40"
"38271207","01/03/2024 03:34:43 PM","Rails Markup","5.88","0.51"
"38271450","01/03/2024 03:37:19 PM","Rails Markup","2.90","0.25"
"38272093","01/03/2024 03:43:22 PM","Rails Markup","2.74","0.24"
"38272474","01/03/2024 03:46:59 PM","Rails Markup","2.86","0.25"
"38273052","01/03/2024 03:53:05 PM","Rails Markup","2.70","0.24"
"38273085","01/03/2024 03:53:22 PM","Rails Markup","3.74","0.33"
"38273120","01/03/2024 03:53:43 PM","Rails Markup","8.62","0.75"
"38273438","01/03/2024 03:56:49 PM","Rails Markup","2.20","0.19"
"38273536","01/03/2024 03:57:37 PM","Rails Markup","4.60","0.40"
"38273556","01/03/2024 03:57:49 PM","Rails Markup","5.80","0.51"
"38273872","01/03/2024 04:01:04 PM","Rails Markup","2.39","0.21"
"38274812","01/03/2024 04:11:03 PM","Rails Markup","10.10","0.88"
"38275361","01/03/2024 04:16:37 PM","Rails Markup","3.90","0.34"
"38275579","01/03/2024 04:18:55 PM","Rails Markup","2.50","0.22"
"38275635","01/03/2024 04:19:37 PM","Rails Markup","6.60","0.58"
"38275816","01/03/2024 04:21:19 PM","Rails Markup","2.98","0.26"
"38276122","01/03/2024 04:24:49 PM","Rails Markup","15.84","1.39"
"38276362","01/03/2024 04:27:34 PM","Rails Markup","4.30","0.38"
"38276593","01/03/2024 04:30:08 PM","Rails Markup","3.39","0.30"
"38276814","01/03/2024 04:32:25 PM","Rails Markup","2.90","0.25"
"38277081","01/03/2024 04:35:19 PM","Rails Markup","4.97","0.43"
"38277348","01/03/2024 04:38:36 PM","Rails Markup","2.70","0.24"
"38277613","01/03/2024 04:41:27 PM","Rails Markup","5.10","0.45"
"38277791","01/03/2024 04:43:30 PM","Rails Markup","2.90","0.25"
"38278013","01/03/2024 04:45:37 PM","Rails Markup","2.19","0.19"
"38278131","01/03/2024 04:47:09 PM","Rails Markup","2.70","0.24"
"38278134","01/03/2024 04:47:09 PM","Rails Markup","6.09","0.53"
"38278412","01/03/2024 04:50:50 PM","Rails Markup","2.90","0.25"
"38278485","01/03/2024 04:51:43 PM","Rails Markup","2.90","0.25"
"38278829","01/03/2024 04:55:32 PM","Rails Markup","1.90","0.17"
"38279211","01/03/2024 04:59:20 PM","Rails Markup","2.90","0.25"
"38279275","01/03/2024 04:59:53 PM","Rails Markup","2.70","0.24"
"38279574","01/03/2024 05:03:12 PM","Rails Markup","2.50","0.22"
"38280070","01/03/2024 05:08:44 PM","Rails Markup","4.07","0.36"
"38280403","01/03/2024 05:12:45 PM","Rails Markup","4.30","0.38"
"38280485","01/03/2024 05:13:33 PM","Rails Markup","6.38","0.56"
"38280755","01/03/2024 05:16:25 PM","Rails Markup","2.88","0.25"
"38280863","01/03/2024 05:17:32 PM","Rails Markup","6.96","0.61"
"38280941","01/03/2024 05:18:18 PM","Rails Markup","3.50","0.31"
"38281224","01/03/2024 05:21:38 PM","Rails Markup","5.80","0.51"
"38281254","01/03/2024 05:22:03 PM","Rails Markup","2.90","0.25"
"38281498","01/03/2024 05:24:35 PM","Rails Markup","2.90","0.25"
"38281574","01/03/2024 05:25:16 PM","Rails Markup","10.70","0.94"
"38281656","01/03/2024 05:26:09 PM","Rails Markup","3.50","0.31"
"38281903","01/03/2024 05:28:46 PM","Rails Markup","5.90","0.52"
"38282118","01/03/2024 05:31:14 PM","Rails Markup","2.70","0.24"
"38282402","01/03/2024 05:34:20 PM","Rails Markup","2.90","0.25"
"38282545","01/03/2024 05:35:53 PM","Rails Markup","3.30","0.29"
"38282801","01/03/2024 05:38:43 PM","Rails Markup","4.10","0.36"
"38283202","01/03/2024 05:42:49 PM","Rails Markup","5.80","0.51"
"38283745","01/03/2024 05:48:50 PM","Rails Markup","3.10","0.27"
"38283954","01/03/2024 05:51:05 PM","Rails Markup","8.20","0.72"
"38284116","01/03/2024 05:52:43 PM","Rails Markup","2.90","0.25"
"38284126","01/03/2024 05:52:49 PM","Rails Markup","8.58","0.75"
"38284308","01/03/2024 05:54:41 PM","Rails Markup","2.90","0.25"
"38284523","01/03/2024 05:57:15 PM","Rails Markup","6.60","0.58"
"38284712","01/03/2024 05:59:23 PM","Rails Markup","4.10","0.36"
"38284744","01/03/2024 05:59:42 PM","Rails Markup","3.30","0.29"
"38284962","01/03/2024 06:01:56 PM","Rails Markup","6.64","0.58"
"38285013","01/03/2024 06:02:26 PM","Rails Markup","5.40","0.47"
"38285341","01/03/2024 06:05:23 PM","Rails Markup","4.90","0.43"
"38285408","01/03/2024 06:06:04 PM","Rails Markup","5.76","0.50"
"38285461","01/03/2024 06:06:37 PM","Rails Markup","2.90","0.25"
"38285644","01/03/2024 06:08:35 PM","Rails Markup","2.90","0.25"
"38285797","01/03/2024 06:10:19 PM","Rails Markup","11.10","0.97"
"38286306","01/03/2024 06:15:36 PM","Rails Markup","2.70","0.24"
"38286972","01/03/2024 06:22:37 PM","Rails Markup","1.90","0.17"
"38287077","01/03/2024 06:23:32 PM","Rails Markup","2.74","0.24"
"38287153","01/03/2024 06:24:16 PM","Rails Markup","4.09","0.36"
"38287704","01/03/2024 06:29:31 PM","Rails Markup","4.79","0.42"
"38288345","01/03/2024 06:35:33 PM","Rails Markup","3.50","0.31"
"38288459","01/03/2024 06:36:40 PM","Rails Markup","3.30","0.29"
"38288973","01/03/2024 06:41:53 PM","Rails Markup","6.60","0.58"
"38290269","01/03/2024 06:54:04 PM","Rails Markup","4.90","0.43"
"38290588","01/03/2024 06:57:07 PM","Rails Markup","4.50","0.39"
"38290742","01/03/2024 06:58:31 PM","Rails Markup","4.59","0.40"
"38290771","01/03/2024 06:58:52 PM","Rails Markup","5.52","0.48"
"38291279","01/03/2024 07:03:35 PM","Rails Markup","2.90","0.25"
"38291536","01/03/2024 07:05:55 PM","Rails Markup","1.98","0.17"
"38291627","01/03/2024 07:06:46 PM","Rails Markup","2.00","0.18"
"38292307","01/03/2024 07:13:45 PM","Rails Markup","2.70","0.24"
"38292529","01/03/2024 07:15:41 PM","Rails Markup","2.70","0.24"
"38292723","01/03/2024 07:17:37 PM","Rails Markup","3.30","0.29"
"38293087","01/03/2024 07:21:05 PM","Rails Markup","2.90","0.25"
"38293685","01/03/2024 07:26:36 PM","Rails Markup","4.50","0.39"
"38294299","01/03/2024 07:32:17 PM","Rails Markup","4.30","0.38"
"38295156","01/03/2024 07:40:27 PM","Rails Markup","3.07","0.27"
"38295451","01/03/2024 07:43:29 PM","Rails Markup","5.80","0.51"
"38295648","01/03/2024 07:45:14 PM","Rails Markup","2.98","0.26"
"38295926","01/03/2024 07:47:51 PM","Rails Markup","3.70","0.32"
"38296650","01/03/2024 07:54:31 PM","Rails Markup","7.38","0.65"
"38297034","01/03/2024 07:57:56 PM","Rails Markup","3.70","0.32"
"38297077","01/03/2024 07:58:22 PM","Rails Markup","3.39","0.30"
"38297188","01/03/2024 07:59:26 PM","Rails Markup","2.98","0.26"
"38297313","01/03/2024 08:00:43 PM","Rails Markup","0.70","0.06"
"38297420","01/03/2024 08:01:46 PM","Rails Markup","3.10","0.27"
"38297587","01/03/2024 08:03:20 PM","Rails Markup","3.60","0.32"
"38298187","01/03/2024 08:08:54 PM","Rails Markup","0.80","0.07"
"38298255","01/03/2024 08:09:35 PM","Rails Markup","2.49","0.22"
"38298321","01/03/2024 08:10:13 PM","Rails Markup","4.00","0.35"
"38298753","01/03/2024 08:14:14 PM","Rails Markup","5.40","0.47"
"38299205","01/03/2024 08:18:08 PM","Rails Markup","2.74","0.24"
"38299497","01/03/2024 08:20:59 PM","Rails Markup","4.30","0.38"
"38299616","01/03/2024 08:22:12 PM","Rails Markup","2.70","0.24"
"38299734","01/03/2024 08:23:19 PM","Rails Markup","0.80","0.07"
"38299978","01/03/2024 08:25:35 PM","Rails Markup","3.90","0.34"
"38300018","01/03/2024 08:26:03 PM","Rails Markup","2.10","0.18"
"38300990","01/03/2024 08:34:54 PM","Rails Markup","4.00","0.35"
"38301282","01/03/2024 08:37:23 PM","Rails Markup","2.90","0.25"
"38301303","01/03/2024 08:37:32 PM","Rails Markup","7.50","0.66"
"38301580","01/03/2024 08:40:09 PM","Rails Markup","2.50","0.22"
"38301675","01/03/2024 08:40:53 PM","Rails Markup","4.50","0.39"
"38301968","01/03/2024 08:43:22 PM","Rails Markup","3.50","0.31"
"38303055","01/03/2024 08:53:59 PM","Rails Markup","4.10","0.36"
"38303265","01/03/2024 08:56:08 PM","Rails Markup","7.32","0.64"
"38303293","01/03/2024 08:56:22 PM","Rails Markup","5.80","0.51"
"38303441","01/03/2024 08:57:44 PM","Rails Markup","8.70","0.76"
"38303483","01/03/2024 08:58:08 PM","Rails Markup","2.90","0.25"
"38303606","01/03/2024 08:59:23 PM","Rails Markup","3.60","0.32"
"38306527","01/03/2024 09:26:18 PM","Rails Markup","0.70","0.06"
"38306675","01/03/2024 09:27:42 PM","Rails Markup","5.80","0.51"
"38306722","01/03/2024 09:28:10 PM","Rails Markup","2.70","0.24"
"38306817","01/03/2024 09:29:04 PM","Rails Markup","3.80","0.33"
"38306832","01/03/2024 09:29:11 PM","Rails Markup","3.10","0.27"
"38307145","01/03/2024 09:32:03 PM","Rails Markup","2.79","0.24"
"38307266","01/03/2024 09:33:08 PM","Rails Markup","2.50","0.22"
"38307509","01/03/2024 09:35:30 PM","Rails Markup","5.10","0.45"
"38307709","01/03/2024 09:37:35 PM","Rails Markup","1.90","0.17"
"38307904","01/03/2024 09:39:32 PM","Rails Markup","2.58","0.23"
"38308235","01/03/2024 09:42:54 PM","Rails Markup","3.70","0.32"
"38308475","01/03/2024 09:45:12 PM","Rails Markup","6.20","0.54"
"38308940","01/03/2024 09:50:14 PM","Rails Markup","5.20","0.46"
"38309797","01/03/2024 09:59:10 PM","Rails Markup","2.70","0.24"
"38309847","01/03/2024 09:59:43 PM","Rails Markup","5.80","0.51"
"38309965","01/03/2024 10:00:48 PM","Rails Markup","2.94","0.26"
"38310264","01/03/2024 10:03:41 PM","Rails Markup","3.70","0.32"
"38310409","01/03/2024 10:05:05 PM","Rails Markup","1.70","0.15"
"38310410","01/03/2024 10:05:05 PM","Rails Markup","2.99","0.26"
"38310523","01/03/2024 10:06:18 PM","Rails Markup","3.70","0.32"
"38310585","01/03/2024 10:06:59 PM","Rails Markup","7.19","0.63"
"38310698","01/03/2024 10:08:04 PM","Rails Markup","4.70","0.41"
"38310726","01/03/2024 10:08:22 PM","Rails Markup","4.40","0.38"
"38311035","01/03/2024 10:11:34 PM","Rails Markup","4.50","0.39"
"38311481","01/03/2024 10:16:41 PM","Rails Markup","2.50","0.22"
"38311616","01/03/2024 10:18:09 PM","Rails Markup","3.40","0.30"
"38311633","01/03/2024 10:18:17 PM","Rails Markup","3.59","0.31"
"38311727","01/03/2024 10:19:12 PM","Rails Markup","4.50","0.39"
"38312146","01/03/2024 10:23:33 PM","Rails Markup","3.75","0.33"
"38312229","01/03/2024 10:24:24 PM","Rails Markup","3.30","0.29"
"38312541","01/03/2024 10:27:35 PM","Rails Markup","3.59","0.31"
"38312907","01/03/2024 10:31:24 PM","Rails Markup","2.74","0.24"
"38313303","01/03/2024 10:36:15 PM","Rails Markup","9.34","0.82"
"38313397","01/03/2024 10:37:24 PM","Rails Markup","7.80","0.68"
"38313406","01/03/2024 10:37:31 PM","Rails Markup","6.80","0.60"
"38313490","01/03/2024 10:38:42 PM","Rails Markup","2.70","0.24"
